-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.885,  0.445
-183.743, 80.058, 1.080,  0.478
-183.724, 80.017, 1.284,  0.511
-183.704, 79.968, 1.505,  0.544
-183.682, 79.913, 1.722,  0.577
-183.661, 79.852, 1.926,  0.610
-183.639, 79.784, 2.102,  0.643
-183.617, 79.713, 2.219,  0.676
-183.596, 79.640, 2.282,  0.709
-183.574, 79.565, 2.311,  0.742
-183.553, 79.492, 2.312,  0.775
-183.533, 79.418, 2.294,  0.808
-183.512, 79.346, 2.262,  0.841
-183.492, 79.275, 2.219,  0.874
-183.472, 79.206, 2.169,  0.907
-183.452, 79.139, 2.114,  0.940
-183.433, 79.073, 2.055,  0.973
-183.414, 79.010, 1.994,  1.006
-183.394, 78.949, 1.919,  1.039
-183.373, 78.891, 1.846,  1.072
-183.351, 78.835, 1.781,  1.105
-183.330, 78.781, 1.719,  1.138
-183.310, 78.729, 1.658,  1.171
-183.290, 78.680, 1.571,  1.204
-183.270, 78.633, 1.509,  1.237
-183.251, 78.588, 1.466,  1.270
-183.231, 78.543, 1.453,  1.303
-183.211, 78.498, 1.462,  1.336
-183.191, 78.451, 1.506,  1.369
-183.170, 78.402, 1.595,  1.402
-183.147, 78.349, 1.739,  1.435
-183.123, 78.290, 1.899,  1.468
-183.099, 78.226, 2.033,  1.501
-183.075, 78.159, 2.115,  1.534
-183.051, 78.091, 2.151,  1.567
-183.027, 78.023, 2.160,  1.600
-183.002, 77.956, 2.141,  1.633
-182.975, 77.890, 2.108,  1.666
-182.949, 77.826, 2.071,  1.699
-182.924, 77.764, 2.028,  1.732
